,grey_obj1a.jpg,grey_obj1b.jpg,grey_obj1c.jpg,grey_obj1d.jpg,grey_obj1e.jpg,grey_obj1f.jpg,grey_obj1g.jpg,grey_obj1h.jpg,grey_obj1i.jpg,grey_obj1j.jpg,grey_obj1k.jpg,grey_obj1l.jpg,grey_obj2a.jpg,grey_obj2b.jpg,grey_obj2c.jpg,grey_obj2d.jpg,grey_obj2e.jpg,grey_obj2f.jpg,grey_obj2g.jpg,grey_obj2h.jpg,grey_obj2i.jpg,grey_obj2j.jpg,grey_obj2k.jpg,grey_obj2l.jpg,grey_obj3a.jpg,grey_obj3b.jpg,grey_obj3c.jpg,grey_obj3d.jpg,grey_obj3e.jpg,grey_obj3f.jpg,grey_obj3g.jpg,grey_obj3h.jpg,grey_obj3i.jpg,grey_obj3j.jpg,grey_obj3k.jpg,grey_obj3l.jpg,grey_obj4a.jpg,grey_obj4b.jpg,grey_obj4c.jpg,grey_obj4d.jpg,grey_obj4e.jpg,grey_obj4f.jpg,grey_obj4g.jpg,grey_obj4h.jpg,grey_obj4i.jpg,grey_obj4j.jpg,grey_obj4k.jpg,grey_obj4l.jpg,grey_obj5a.jpg,grey_obj5b.jpg,grey_obj5c.jpg,grey_obj5d.jpg,grey_obj5e.jpg,grey_obj5f.jpg,grey_obj5g.jpg,grey_obj5h.jpg,grey_obj5i.jpg,grey_obj5j.jpg,grey_obj5k.jpg,grey_obj5l.jpg,grey_obj6a.jpg,grey_obj6b.jpg,grey_obj6c.jpg,grey_obj6d.jpg,grey_obj6e.jpg,grey_obj6f.jpg,grey_obj6g.jpg,grey_obj6h.jpg,grey_obj6i.jpg,grey_obj6j.jpg,grey_obj6k.jpg,grey_obj6l.jpg,grey_obj7a.jpg,grey_obj7b.jpg,grey_obj7c.jpg,grey_obj7d.jpg,grey_obj7e.jpg,grey_obj7f.jpg,grey_obj7g.jpg,grey_obj7h.jpg,grey_obj7i.jpg,grey_obj7j.jpg,grey_obj7k.jpg,grey_obj7l.jpg,grey_obj8a.jpg,grey_obj8b.jpg,grey_obj8c.jpg,grey_obj8d.jpg,grey_obj8e.jpg,grey_obj8f.jpg,grey_obj8g.jpg,grey_obj8h.jpg,grey_obj8i.jpg,grey_obj8j.jpg,grey_obj8k.jpg,grey_obj8l.jpg
grey_obj1a.jpg,1.0000001,0.3923846,0.4786973,0.3690408,0.30910516,0.16868374,0.35594094,0.350933,0.3136861,0.39882112,0.34997278,0.31626245,0.089599,0.11055867,0.12402863,0.15464416,0.1100746,0.13561639,0.14279835,0.12395252,0.13643073,0.13025537,0.17413923,0.18587783,0.14752458,0.21733168,0.19723552,0.1875563,0.1441528,0.13621376,0.21743876,0.13097009,0.16308978,0.1565561,0.26736194,0.15418376,0.19767554,0.16951501,0.20355366,0.21271846,0.13186565,0.15799643,0.22949667,0.17695911,0.1781436,0.18796523,0.113398746,0.16821618,0.15283643,0.15759996,0.11061304,0.09208679,0.07425475,0.13383305,0.079440825,0.108695105,0.08031045,0.13552591,0.12122674,0.09105245,0.11382339,0.18047175,0.1618778,0.10671934,0.12651205,0.12178863,0.12986235,0.11398493,0.16860749,0.15114732,0.13894932,0.15645137,0.117187165,0.14802673,0.16989549,0.1130083,0.26517943,0.16879684,0.13239028,0.1286189,0.09650416,0.114587255,0.17109498,0.223719,0.12318604,0.16662517,0.10471009,0.1102761,0.13685745,0.12548615,0.11614817,0.12750669,0.20126525,0.13570486,0.18061456,0.104082055
grey_obj1b.jpg,0.3923846,0.9999995,0.3794773,0.48967907,0.21218723,0.18956289,0.32740775,0.37692022,0.30116165,0.27357033,0.43261302,0.34625998,0.1518432,0.15761206,0.14977702,0.17452917,0.13025068,0.18773246,0.14261119,0.16601264,0.17591229,0.17441416,0.178162,0.18925275,0.20185186,0.18343642,0.22029135,0.19944881,0.19520383,0.16794057,0.17319594,0.1453351,0.16962829,0.14356816,0.20096514,0.12765093,0.14565894,0.17425495,0.15657538,0.1756155,0.09828081,0.11150402,0.1647761,0.16249478,0.12997405,0.12300063,0.13376658,0.12027211,0.12527043,0.13131253,0.089159176,0.108900525,0.08817118,0.11833112,0.11076447,0.12209674,0.09401226,0.112296246,0.12587385,0.10419453,0.15519854,0.16506974,0.17522192,0.1678196,0.2053188,0.159098,0.13370046,0.120764844,0.16187896,0.18010166,0.16019869,0.1385954,0.11926374,0.13781661,0.12802339,0.09557741,0.17344391,0.118730016,0.14336793,0.104571514,0.10210625,0.11777462,0.18122795,0.17604275,0.17267722,0.18699835,0.16385557,0.18065432,0.16664967,0.15001488,0.16304411,0.18393876,0.23318163,0.14958328,0.24152845,0.15333213
grey_obj1c.jpg,0.4786973,0.3794773,0.9999999,0.35009822,0.41737768,0.10041639,0.40029627,0.36565217,0.222241,0.25582695,0.27138162,0.21930212,0.09959328,0.09264755,0.09217309,0.117320925,0.09804375,0.11557297,0.12831917,0.09827605,0.10791612,0.10324908,0.11819825,0.14043318,0.13289246,0.16205142,0.22002366,0.14359595,0.15147342,0.15517782,0.20925768,0.14489815,0.15115027,0.14584264,0.2177597,0.13011421,0.13161005,0.11802275,0.12961604,0.13214295,0.081658825,0.111331336,0.15293272,0.13288672,0.14250197,0.124486916,0.0739366,0.10706184,0.12184131,0.10669846,0.10621362,0.07991102,0.06422158,0.083733365,0.06971488,0.110478945,0.0881715,0.10321669,0.09935575,0.07553807,0.15149379,0.17465745,0.1796314,0.13155301,0.15005606,0.13485023,0.14112246,0.106933214,0.12523367,0.15710744,0.18387656,0.16979502,0.13445109,0.21901138,0.21251737,0.13245443,0.21957524,0.20112315,0.19567998,0.20238988,0.1352295,0.15687242,0.22575726,0.29065117,0.09264159,0.097317986,0.07204321,0.108767174,0.09125477,0.091960534,0.08162232,0.10422119,0.17921212,0.09754337,0.10128589,0.08453575
grey_obj1d.jpg,0.3690408,0.48967907,0.35009822,0.99999976,0.20584363,0.23575084,0.2958053,0.37537432,0.40093386,0.33245727,0.42238733,0.3614702,0.10309371,0.15841119,0.1383066,0.15646832,0.10827797,0.17756763,0.16896152,0.1659682,0.148858,0.12428792,0.16236493,0.18426883,0.1834733,0.16770193,0.22998238,0.20374756,0.14178671,0.1556422,0.20386544,0.13747567,0.20520969,0.15630785,0.20237634,0.15301287,0.22811404,0.21299885,0.2023528,0.24462554,0.15698157,0.15983385,0.22412577,0.20444873,0.2132436,0.18725528,0.15118995,0.15777908,0.15166445,0.14509067,0.11907444,0.09594733,0.10495212,0.119884804,0.11277031,0.15886624,0.10406107,0.16114181,0.14044806,0.11829865,0.17571439,0.18015657,0.198542,0.17296278,0.20006242,0.17702274,0.120233946,0.14670305,0.17166089,0.18620111,0.16615774,0.16794601,0.10419718,0.111230634,0.12125948,0.107378654,0.17591098,0.12926714,0.11746185,0.089780584,0.10268475,0.13897203,0.15748115,0.15102713,0.17897178,0.21960586,0.17989428,0.16724096,0.18859431,0.16216007,0.16909406,0.21140133,0.29651168,0.17215243,0.23700991,0.13650742
grey_obj1e.jpg,0.30910516,0.21218723,0.41737768,0.20584363,0.99999964,0.10530777,0.37664136,0.29162568,0.22735214,0.19732378,0.16411242,0.14339356,0.09570529,0.09824402,0.092557006,0.10334499,0.119619116,0.12165603,0.105929926,0.11165013,0.117771596,0.11069489,0.11996223,0.119446166,0.1052902,0.14521049,0.22725597,0.14375351,0.17450733,0.1729707,0.17473829,0.16145495,0.13746375,0.13694234,0.20255436,0.11092616,0.120043054,0.11281304,0.11203658,0.12405038,0.08116489,0.096114516,0.13654459,0.11006637,0.17169018,0.12923141,0.08291629,0.08919943,0.11797747,0.13155124,0.14536354,0.09583469,0.09054074,0.09291627,0.07742425,0.11276967,0.10565752,0.11605104,0.1176008,0.084274985,0.17375843,0.20096496,0.25840375,0.12704256,0.13684809,0.18675622,0.19556975,0.13446501,0.09977617,0.17773649,0.24899845,0.17412305,0.18976149,0.28334865,0.2417012,0.16060221,0.20584242,0.24283928,0.23847185,0.26691175,0.18122351,0.21900047,0.27205822,0.30680135,0.08493826,0.074030414,0.073156044,0.0832385,0.07621957,0.09035543,0.092075706,0.08538974,0.12805334,0.08570054,0.07843605,0.08666076
grey_obj1f.jpg,0.16868374,0.18956289,0.10041639,0.23575084,0.10530777,0.99999976,0.16073948,0.20478177,0.26252577,0.3303779,0.2369186,0.272888,0.17098379,0.21790293,0.20415616,0.20405833,0.19118705,0.18969505,0.24711637,0.25881106,0.2148746,0.2124922,0.30879012,0.261256,0.22282875,0.14690578,0.16451402,0.18298928,0.12168635,0.16723207,0.23121817,0.12488928,0.2339297,0.1726901,0.19629504,0.17563096,0.18439011,0.1981305,0.21109098,0.20861945,0.14788544,0.16930218,0.15399925,0.18978095,0.1733458,0.14896183,0.18218724,0.18684822,0.17394127,0.19936365,0.11671722,0.10767127,0.15881245,0.11659906,0.14069813,0.19996656,0.09899135,0.17672981,0.19221438,0.09533449,0.2045176,0.16421974,0.15067124,0.20191805,0.21414971,0.19775091,0.110704094,0.1480169,0.19911048,0.24084538,0.16813028,0.21905924,0.09600422,0.10152803,0.09935401,0.095832914,0.15542711,0.12114389,0.074365124,0.06880768,0.09821645,0.11563719,0.15158731,0.14935182,0.3400462,0.36365604,0.25278628,0.29120848,0.36569947,0.31224415,0.31729883,0.29005048,0.34331056,0.25466588,0.41129556,0.29625666
grey_obj1g.jpg,0.35594094,0.32740775,0.40029627,0.2958053,0.37664136,0.16073948,0.99999994,0.34925774,0.28815657,0.30412894,0.27093887,0.24423952,0.08436679,0.1214242,0.09842141,0.11002721,0.1065486,0.13406502,0.12382674,0.13513814,0.13255821,0.11749189,0.1512164,0.15509596,0.18029046,0.1843047,0.26784164,0.25257763,0.24454802,0.2301651,0.2396826,0.25730026,0.21432394,0.16350527,0.22852103,0.17104366,0.18162626,0.14779192,0.1585561,0.1959205,0.11356878,0.14873205,0.1789957,0.20078355,0.2063434,0.15925182,0.11191259,0.15535155,0.13645346,0.15062983,0.12100849,0.09963645,0.079510674,0.124727584,0.089055635,0.118245766,0.12961146,0.17750987,0.13289809,0.09604479,0.19250815,0.23336878,0.2340084,0.121885456,0.19153532,0.1738914,0.17643033,0.14424028,0.14651558,0.19531892,0.22460003,0.20321631,0.25772047,0.20482239,0.18723418,0.16734754,0.26686245,0.16841464,0.24169762,0.16424823,0.13612118,0.19712417,0.23799235,0.21142651,0.14171834,0.11649246,0.08435062,0.10040134,0.118455164,0.12558477,0.10448963,0.09780472,0.16292797,0.11936785,0.14429143,0.12955628
grey_obj1h.jpg,0.350933,0.37692022,0.36565217,0.37537432,0.29162568,0.20478177,0.34925774,1.0000002,0.3772692,0.32361454,0.35440382,0.36497706,0.10455151,0.12637179,0.12627256,0.14433375,0.12944287,0.1610837,0.14366746,0.14841971,0.13453785,0.13055949,0.1608696,0.19459873,0.16078587,0.14802094,0.20995972,0.21695784,0.17367609,0.1819306,0.18755692,0.15572535,0.22551298,0.17401877,0.18926951,0.1734098,0.1865164,0.18067643,0.19350901,0.23150754,0.10902138,0.16058195,0.19107565,0.19616997,0.18774168,0.15006098,0.12427132,0.15229434,0.13501886,0.14466108,0.10899294,0.10159932,0.10898318,0.12081537,0.10911244,0.19309412,0.10186459,0.16633075,0.16188492,0.11124765,0.17817914,0.2271889,0.21019076,0.17781404,0.19931793,0.18805107,0.17055066,0.14733237,0.16499135,0.20748836,0.21737732,0.20948775,0.16277502,0.15112458,0.13747913,0.15586387,0.23680824,0.16305858,0.14999963,0.12642404,0.14133523,0.15486778,0.19661672,0.21258956,0.18546546,0.16465189,0.1175009,0.15210836,0.15181303,0.17324248,0.15647465,0.16097952,0.24631985,0.13475437,0.1822487,0.14516231
grey_obj1i.jpg,0.3136861,0.30116165,0.222241,0.40093386,0.22735214,0.26252577,0.28815657,0.3772692,0.9999998,0.37704405,0.3905282,0.45950016,0.12943278,0.21644741,0.17855583,0.17647587,0.14949438,0.22433338,0.21921042,0.22534399,0.21120523,0.16462992,0.20493947,0.21251087,0.24216658,0.23277488,0.2682299,0.3049901,0.23760585,0.24300183,0.27860934,0.22843698,0.30535388,0.25951773,0.28112903,0.23809421,0.2824668,0.24523453,0.28510708,0.2913939,0.18851236,0.22163746,0.26225814,0.22384836,0.25177392,0.23115785,0.16604789,0.21695602,0.20226263,0.21747553,0.1720675,0.15036303,0.17632933,0.17650343,0.1734892,0.20598963,0.131547,0.235305,0.21339472,0.15233584,0.19933487,0.2168433,0.24739166,0.20682162,0.28866363,0.23732199,0.18235643,0.19255437,0.21254873,0.2417126,0.21138485,0.23293117,0.15838504,0.14891459,0.13226853,0.10771189,0.27190775,0.1902613,0.1494034,0.13693774,0.116720036,0.14576186,0.2326499,0.19107157,0.23222797,0.28800064,0.20109062,0.19967912,0.2542924,0.23598956,0.21640918,0.2138032,0.26461342,0.2433225,0.34337977,0.2092681
grey_obj1j.jpg,0.39882112,0.27357033,0.25582695,0.33245727,0.19732378,0.3303779,0.30412894,0.32361454,0.37704405,0.9999999,0.36798635,0.4183856,0.12816451,0.14595532,0.15603627,0.1519036,0.11474699,0.1874813,0.17153637,0.21463253,0.16436875,0.1659022,0.22455382,0.21860133,0.18005328,0.23283368,0.2267483,0.20919533,0.13267945,0.13288447,0.29095176,0.12148331,0.17057791,0.14884147,0.26257962,0.17113142,0.2780138,0.26348364,0.2846312,0.33419663,0.2100674,0.21805283,0.2752207,0.25019875,0.23868278,0.2529142,0.19159177,0.2336642,0.17689666,0.16816415,0.123065606,0.13140967,0.12111309,0.20050214,0.12856998,0.1762449,0.108071,0.1668796,0.19593339,0.13372378,0.15164067,0.21072668,0.15927435,0.15035965,0.16867135,0.13290319,0.10064293,0.14193293,0.21967418,0.17625861,0.15082945,0.17537431,0.104855284,0.09792841,0.10850582,0.09290985,0.17903405,0.13194543,0.07477581,0.088778794,0.08739127,0.11920795,0.12059977,0.15098038,0.28219023,0.33054656,0.2839629,0.21707883,0.3061317,0.26876494,0.24152511,0.26339135,0.34749874,0.2650967,0.4231502,0.21856132
